otu name,Name,k__,p__,c__,o__,f__,g__,s__,superkingdom__,superphylum__,subclass,suborder,subphylum__
OTU_120,ab078817.1 propionicimonas paludicola str. k2  ,k__bacteria,p__actinobacteria,c__actinobacteria,o__actinomycetales,f__nocardioidaceae,g__propionicimonas,s__propionicimonas paludicola,superkingdom__bacteria,,subclass  actinobacteridae,suborder__propionibacterineae,
OTU_121,uncultured salinibacter sp. ,k__bacteria,p__bacteroidetes,c__bacteroidetes,o__bacteroidetes order ii. incertae sedis,f__rhodothermaceae,g__salinibacter,s__salinibacter spp.,superkingdom__bacteria,superphylum__bacteroidetes/chlorobi group,,,
OTU_122,uncultured opitutus sp. ,k__bacteria,p__verrucomicrobia,c__opitutae,o__opitutales,f__opitutaceae,g__opitutus,s__opitutus spp.,superkingdom__bacteria,superphylum__chlamydiae/verrucomicrobia group,,,
OTU_123,am947938.1 rhodopseudomonas pangongensis str. ja310  ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__bradyrhizobiaceae,g__rhodopseudomonas,s__rhodopseudomonas pangongensis,superkingdom__bacteria,,,,
OTU_124,No hits found,,,,,,,,,,,,
OTU_125,uncultured steroidobacter sp. ,k__bacteria,p__proteobacteria,c__gammaproteobacteria,o__xanthomonadales,f__sinobacteraceae,g__steroidobacter,s__steroidobacter spp.,superkingdom__bacteria,,,,
OTU_126,uncultured prolixibacter sp. ,k__bacteria,p__bacteroidetes,c__bacteroidia,o__bacteroidales,f__prolixibacteraceae,g__prolixibacter,s__prolixibacter spp.,superkingdom__bacteria,superphylum__bacteroidetes/chlorobi group,,,
OTU_127,pleomorphomonas sp. r5_392 ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__methylocystaceae,g__pleomorphomonas,s__pleomorphomonas sp.,superkingdom__bacteria,,,,
OTU_128,uncultured chlorobium sp. ,k__bacteria,p__chlorobi,c__chlorobia,o__chlorobiales,f__chlorobiaceae,g__chlorobium,s__chlorobium spp.,superkingdom__bacteria,superphylum__bacteroidetes/chlorobi group,,,
OTU_129,ay281086.1 streptococcus sanguinis str. atcc 49296  ,k__bacteria,p__firmicutes,c__bacilli,o__lactobacillales,f__streptococcaceae,g__streptococcus,s__streptococcus sanguinis,superkingdom__bacteria,,,,
OTU_130,uncultured rhodothermus sp. ,k__bacteria,p__bacteroidetes,c__bacteroidetes,o__bacteroidetes order ii. incertae sedis,f__rhodothermaceae,g__rhodothermus,s__rhodothermus spp.,superkingdom__bacteria,superphylum__bacteroidetes/chlorobi group,,,
OTU_131,nc_007925.1 rhodopseudomonas palustris str. bisb18  ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__bradyrhizobiaceae,g__rhodopseudomonas,s__rhodopseudomonas palustris,superkingdom__bacteria,,,,
OTU_132,methyloligella halotolerans ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__rhizobiales,g__methyloligella,s__methyloligella halotolerans,superkingdom__bacteria,,,,
OTU_133,uncultured opitutus sp. ,k__bacteria,p__verrucomicrobia,c__opitutae,o__opitutales,f__opitutaceae,g__opitutus,s__opitutus spp.,superkingdom__bacteria,superphylum__chlamydiae/verrucomicrobia group,,,
OTU_134,am084007.1 acidovorax sp. str. r_24613  ,k__bacteria,p__proteobacteria,c__betaproteobacteria,o__burkholderiales,f__comamonadaceae,g__acidovorax,s__acidovorax caeni,superkingdom__bacteria,,,,
OTU_135,eubacterium sp. oral clone ji012 ,k__bacteria,p__firmicutes,c__clostridia,o__clostridiales,f__eubacteriaceae,g__eubacterium,s__eubacterium sp.,superkingdom__bacteria,,,,
OTU_136,rhodoblastus acidophilus ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__bradyrhizobiaceae,g__rhodoblastus,s__rhodoblastus acidophilus,superkingdom__bacteria,,,,
OTU_137,uncultured bacteroides sp. ,k__bacteria,p__bacteroidetes,c__bacteroidia,o__bacteroidales,f__bacteroidaceae,g__bacteroides,s__bacteroides spp.,superkingdom__bacteria,superphylum__bacteroidetes/chlorobi group,,,
OTU_138,uncultured bacteroides sp. ,k__bacteria,p__bacteroidetes,c__bacteroidia,o__bacteroidales,f__bacteroidaceae,g__bacteroides,s__bacteroides spp.,superkingdom__bacteria,superphylum__bacteroidetes/chlorobi group,,,
OTU_139,uncultured enterobacter sp. ,k__bacteria,p__proteobacteria,c__gammaproteobacteria,o__enterobacteriales,f__enterobacteriaceae,g__enterobacter,s__enterobacter spp.,superkingdom__bacteria,,,,
OTU_140,ay297802.1 waterlogged archaeological wood clone pach82  ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__methylocystaceae,g__pleomorphomonas,s__pleomorphomonas oryzae,superkingdom__bacteria,,,,
OTU_141,uncultured pleomorphomonas sp. ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__methylocystaceae,g__pleomorphomonas,s__pleomorphomonas spp.,superkingdom__bacteria,,,,
OTU_142,bradyrhizobium sp. wbos16 ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__bradyrhizobiaceae,g__bradyrhizobium,s__bradyrhizobium sp.,superkingdom__bacteria,,,,
OTU_143,uncultured gemmatimonas sp. ,k__bacteria,p__gemmatimonadetes,c__gemmatimonadetes,o__gemmatimonadales,f__gemmatimonadaceae,g__gemmatimonas,s__gemmatimonas spp.,superkingdom__bacteria,,,,
OTU_144,uncultured spirochaeta sp. ,k__bacteria,p__spirochaetes,c__spirochaetia,o__spirochaetales,f__spirochaetaceae,g__spirochaeta,s__spirochaeta spp.,superkingdom__bacteria,,,,
OTU_145,uncultured acetobacter sp. ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhodospirillales,f__acetobacteraceae,g__acetobacter,s__acetobacter spp.,superkingdom__bacteria,,,,
OTU_146,uncultured ancalomicrobium sp. ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__hyphomicrobiaceae,g__ancalomicrobium,s__ancalomicrobium spp.,superkingdom__bacteria,,,,
OTU_147,aj229246.1 opitutus terrae  ,k__bacteria,p__verrucomicrobia,c__opitutae,o__opitutales,f__opitutaceae,g__opitutus,s__opitutus terrae,superkingdom__bacteria,superphylum__chlamydiae/verrucomicrobia group,,,
OTU_148,pseudochrobactrum kiredjianiae ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__brucellaceae,g__pseudochrobactrum,s__pseudochrobactrum kiredjianiae,superkingdom__bacteria,,,,
OTU_149,uncultured bacteroides sp. ,k__bacteria,p__bacteroidetes,c__bacteroidia,o__bacteroidales,f__bacteroidaceae,g__bacteroides,s__bacteroides spp.,superkingdom__bacteria,superphylum__bacteroidetes/chlorobi group,,,
OTU_150,uncultured ancalomicrobium sp. ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__hyphomicrobiaceae,g__ancalomicrobium,s__ancalomicrobium spp.,superkingdom__bacteria,,,,
OTU_151,prevotella sp. oral clone gi030 ,k__bacteria,p__bacteroidetes,c__bacteroidia,o__bacteroidales,f__prevotellaceae,g__prevotella,s__prevotella sp.,superkingdom__bacteria,superphylum__bacteroidetes/chlorobi group,,,
OTU_152,No hits found,,,,,,,,,,,,
OTU_153,uncultured prolixibacter sp. ,k__bacteria,p__bacteroidetes,c__bacteroidia,o__bacteroidales,f__prolixibacteraceae,g__prolixibacter,s__prolixibacter spp.,superkingdom__bacteria,superphylum__bacteroidetes/chlorobi group,,,
OTU_154,No hits found,,,,,,,,,,,,
OTU_155,eu528231.1 seasonal dynamics mudflat mouth major kentucky lake reservoir tributary sediment clone 3.5.6  ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhodospirillales,f__rhodospirillaceae,g__magnetospirillum,s__magnetospirillum sp.,superkingdom__bacteria,,,,
OTU_156,uncultured rhodocyclus sp. ,k__bacteria,p__proteobacteria,c__betaproteobacteria,o__rhodocyclales,f__rhodocyclaceae,g__rhodocyclus,s__rhodocyclus spp.,superkingdom__bacteria,,,,
OTU_157,uncultured ancalomicrobium sp. ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__hyphomicrobiaceae,g__ancalomicrobium,s__ancalomicrobium spp.,superkingdom__bacteria,,,,
OTU_158,uncultured ancalomicrobium sp. ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__hyphomicrobiaceae,g__ancalomicrobium,s__ancalomicrobium spp.,superkingdom__bacteria,,,,
OTU_159,uncultured porphyromonas sp. ,k__bacteria,p__bacteroidetes,c__bacteroidia,o__bacteroidales,f__porphyromonadaceae,g__porphyromonas,s__porphyromonas spp.,superkingdom__bacteria,superphylum__bacteroidetes/chlorobi group,,,
OTU_160,eu528231.1 seasonal dynamics mudflat mouth major kentucky lake reservoir tributary sediment clone 3.5.6  ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhodospirillales,f__rhodospirillaceae,g__magnetospirillum,s__magnetospirillum sp.,superkingdom__bacteria,,,,
OTU_161,aj229247.1 anoxic bulk soil flooded rice microcosm isolate str. kcb90  ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__methylocystaceae,g__pleomorphomonas,s__pleomorphomonas oryzae,superkingdom__bacteria,,,,
OTU_162,uncultured bradyrhizobium sp. ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__bradyrhizobiaceae,g__bradyrhizobium,s__bradyrhizobium spp.,superkingdom__bacteria,,,,
OTU_163,eubacterium sp. oral clone ji012 ,k__bacteria,p__firmicutes,c__clostridia,o__clostridiales,f__eubacteriaceae,g__eubacterium,s__eubacterium sp.,superkingdom__bacteria,,,,
OTU_164,afipia genosp. 6 ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__bradyrhizobiaceae,g__afipia,s__afipia sp.,superkingdom__bacteria,,,,
OTU_165,uncultured acetobacter sp. ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhodospirillales,f__acetobacteraceae,g__acetobacter,s__acetobacter spp.,superkingdom__bacteria,,,,
OTU_166,uncultured spirosoma sp. ,k__bacteria,p__bacteroidetes,c__cytophagia,o__cytophagales,f__cytophagaceae,g__spirosoma,s__spirosoma spp.,superkingdom__bacteria,superphylum__bacteroidetes/chlorobi group,,,
OTU_167,citrobacter sp. f3_3 ,k__bacteria,p__proteobacteria,c__gammaproteobacteria,o__enterobacteriales,f__enterobacteriaceae,g__citrobacter,s__citrobacter sp.,superkingdom__bacteria,,,,
OTU_168,uncultured fibrobacter sp. ,k__bacteria,p__fibrobacteres,c__fibrobacteria,o__fibrobacterales,f__fibrobacteraceae,g__fibrobacter,s__fibrobacter spp.,superkingdom__bacteria,superphylum__fibrobacteres/acidobacteria group,,,
OTU_169,uncultured sphingobacterium sp. ,k__bacteria,p__bacteroidetes,c__sphingobacteriia,o__sphingobacteriales,f__sphingobacteriaceae,g__sphingobacterium,s__sphingobacterium spp.,superkingdom__bacteria,superphylum__bacteroidetes/chlorobi group,,,
OTU_170,uncultured bacteroides sp. ,k__bacteria,p__bacteroidetes,c__bacteroidia,o__bacteroidales,f__bacteroidaceae,g__bacteroides,s__bacteroides spp.,superkingdom__bacteria,superphylum__bacteroidetes/chlorobi group,,,
OTU_171,oligotropha carboxidovorans ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__bradyrhizobiaceae,g__oligotropha,s__oligotropha carboxidovorans,superkingdom__bacteria,,,,
OTU_172,uncultured gemmatimonas sp. ,k__bacteria,p__gemmatimonadetes,c__gemmatimonadetes,o__gemmatimonadales,f__gemmatimonadaceae,g__gemmatimonas,s__gemmatimonas spp.,superkingdom__bacteria,,,,
OTU_173,uncultured pseudomonas sp. ,k__bacteria,p__proteobacteria,c__gammaproteobacteria,o__pseudomonadales,f__pseudomonadaceae,g__pseudomonas,s__pseudomonas spp.,superkingdom__bacteria,,,,
OTU_174,uncultured spirochaeta sp. ,k__bacteria,p__spirochaetes,c__spirochaetia,o__spirochaetales,f__spirochaetaceae,g__spirochaeta,s__spirochaeta spp.,superkingdom__bacteria,,,,
OTU_175,ay985396.1 human stool clone c334  ,k__bacteria,p__bacteroidetes,c__bacteroidia,o__bacteroidales,f__porphyromonadaceae,g__parabacteroides,s__parabacteroides distasonis,superkingdom__bacteria,superphylum__bacteroidetes/chlorobi group,,,
OTU_176,uncultured acetobacter sp. ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhodospirillales,f__acetobacteraceae,g__acetobacter,s__acetobacter spp.,superkingdom__bacteria,,,,
OTU_177,uncultured opitutus sp. ,k__bacteria,p__verrucomicrobia,c__opitutae,o__opitutales,f__opitutaceae,g__opitutus,s__opitutus spp.,superkingdom__bacteria,superphylum__chlamydiae/verrucomicrobia group,,,
OTU_178,neisseria perflava ,k__bacteria,p__proteobacteria,c__betaproteobacteria,o__neisseriales,f__neisseriaceae,g__neisseria,s__neisseria perflava,superkingdom__bacteria,,,,
OTU_179,uncultured nitrobacter sp. ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__bradyrhizobiaceae,g__nitrobacter,s__nitrobacter spp.,superkingdom__bacteria,,,,
OTU_180,uncultured aquabacterium sp. ,k__bacteria,p__proteobacteria,c__betaproteobacteria,o__burkholderiales,f__burkholderiales,g__aquabacterium,s__aquabacterium spp.,superkingdom__bacteria,,,,
OTU_181,uncultured spirochaeta sp. ,k__bacteria,p__spirochaetes,c__spirochaetia,o__spirochaetales,f__spirochaetaceae,g__spirochaeta,s__spirochaeta spp.,superkingdom__bacteria,,,,
OTU_182,uncultured spirochaeta sp. ,k__bacteria,p__spirochaetes,c__spirochaetia,o__spirochaetales,f__spirochaetaceae,g__spirochaeta,s__spirochaeta spp.,superkingdom__bacteria,,,,
OTU_183,rhodoblastus acidophilus ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__bradyrhizobiaceae,g__rhodoblastus,s__rhodoblastus acidophilus,superkingdom__bacteria,,,,
OTU_184,ab089103.1 termite gut homogenate clone rs_k54  ,k__bacteria,p__proteobacteria,c__betaproteobacteria,o__rhodocyclales,f__rhodocyclaceae,g__rhodocyclus,s__rhodocyclus tenuis,superkingdom__bacteria,,,,
OTU_185,uncultured opitutus sp. ,k__bacteria,p__verrucomicrobia,c__opitutae,o__opitutales,f__opitutaceae,g__opitutus,s__opitutus spp.,superkingdom__bacteria,superphylum__chlamydiae/verrucomicrobia group,,,
OTU_186,pleomorphomonas sp. r5_392 ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__methylocystaceae,g__pleomorphomonas,s__pleomorphomonas sp.,superkingdom__bacteria,,,,
OTU_187,eu528231.1 seasonal dynamics mudflat mouth major kentucky lake reservoir tributary sediment clone 3.5.6  ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhodospirillales,f__rhodospirillaceae,g__magnetospirillum,s__magnetospirillum sp.,superkingdom__bacteria,,,,
OTU_188,uncultured prolixibacter sp. ,k__bacteria,p__bacteroidetes,c__bacteroidia,o__bacteroidales,f__prolixibacteraceae,g__prolixibacter,s__prolixibacter spp.,superkingdom__bacteria,superphylum__bacteroidetes/chlorobi group,,,
OTU_189,rhodopseudomonas sp. tut3631 ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__bradyrhizobiaceae,g__rhodopseudomonas,s__rhodopseudomonas sp.,superkingdom__bacteria,,,,
OTU_190,ay297802.1 waterlogged archaeological wood clone pach82  ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__methylocystaceae,g__pleomorphomonas,s__pleomorphomonas oryzae,superkingdom__bacteria,,,,
OTU_191,ay297802.1 waterlogged archaeological wood clone pach82  ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__methylocystaceae,g__pleomorphomonas,s__pleomorphomonas oryzae,superkingdom__bacteria,,,,
OTU_192,paludibacter propionicigenes ,k__bacteria,p__bacteroidetes,c__bacteroidia,o__bacteroidales,f__porphyromonadaceae,g__paludibacter,s__paludibacter propionicigenes,superkingdom__bacteria,superphylum__bacteroidetes/chlorobi group,,,
OTU_193,gq031935.1 topographical and temporal human skin microbiome skin volar forearm clone nbw1026e08c1  ,k__bacteria,p__firmicutes,c__bacilli,o__bacillales,f__staphylococcaceae,g__staphylococcus,s__staphylococcus aureus,superkingdom__bacteria,,,,
OTU_194,fj719070.1 protozoan grazers alter metabolically active aquifer aquifier sediments clone p04_c04  ,k__bacteria,p__proteobacteria,c__betaproteobacteria,o__rhodocyclales,f__rhodocyclaceae,g__rhodocyclus,s__rhodocyclus tenuis,superkingdom__bacteria,,,,
OTU_195,eu528231.1 seasonal dynamics mudflat mouth major kentucky lake reservoir tributary sediment clone 3.5.6  ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhodospirillales,f__rhodospirillaceae,g__magnetospirillum,s__magnetospirillum sp.,superkingdom__bacteria,,,,
OTU_196,eu399793.1 ochrobactrum anthropi str. pv2z2  ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__brucellaceae,g__ochrobactrum,s__ochrobactrum anthropi,superkingdom__bacteria,,,,
OTU_197,cu924338.1 towards definition core microorganisms involved digestion mesophilic anaerobic digester which treats municipal wastewater sludge clone  ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__methylocystaceae,g__pleomorphomonas,s__pleomorphomonas spp.,superkingdom__bacteria,,,,
OTU_198,uncultured rhodopseudomonas sp. ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__bradyrhizobiaceae,g__rhodopseudomonas,s__rhodopseudomonas spp.,superkingdom__bacteria,,,,
OTU_199,uncultured paenibacillus sp. ,k__bacteria,p__firmicutes,c__bacilli,o__bacillales,f__paenibacillaceae,g__paenibacillus,s__paenibacillus spp.,superkingdom__bacteria,,,,
OTU_200,ay297802.1 waterlogged archaeological wood clone pach82  ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__methylocystaceae,g__pleomorphomonas,s__pleomorphomonas oryzae,superkingdom__bacteria,,,,
OTU_201,uncultured pontibacter sp. ,k__bacteria,p__bacteroidetes,c__cytophagia,o__cytophagales,f__cytophagaceae,g__pontibacter,s__pontibacter spp.,superkingdom__bacteria,superphylum__bacteroidetes/chlorobi group,,,
OTU_202,uncultured opitutus sp. ,k__bacteria,p__verrucomicrobia,c__opitutae,o__opitutales,f__opitutaceae,g__opitutus,s__opitutus spp.,superkingdom__bacteria,superphylum__chlamydiae/verrucomicrobia group,,,
OTU_203,gq027346.1 topographical and temporal human skin microbiome skin volar forearm clone nbw905a12c1  ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__bradyrhizobiaceae,g__afipia,s__afipia sp.,superkingdom__bacteria,,,,
OTU_204,uncultured bacteroides sp. ,k__bacteria,p__bacteroidetes,c__bacteroidia,o__bacteroidales,f__bacteroidaceae,g__bacteroides,s__bacteroides spp.,superkingdom__bacteria,superphylum__bacteroidetes/chlorobi group,,,
OTU_205,uncultured rhodovibrio sp. ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhodospirillales,f__rhodospirillaceae,g__rhodovibrio,s__rhodovibrio spp.,superkingdom__bacteria,,,,
OTU_206,uncultured rhodoplanes sp. ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__hyphomicrobiaceae,g__rhodoplanes,s__rhodoplanes spp.,superkingdom__bacteria,,,,
OTU_207,uncultured opitutus sp. ,k__bacteria,p__verrucomicrobia,c__opitutae,o__opitutales,f__opitutaceae,g__opitutus,s__opitutus spp.,superkingdom__bacteria,superphylum__chlamydiae/verrucomicrobia group,,,
OTU_208,phaeospirillum sp. ja559 ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhodospirillales,f__rhodospirillaceae,g__phaeospirillum,s__phaeospirillum sp.,superkingdom__bacteria,,,,
OTU_209,uncultured thioalkalivibrio sp. ,k__bacteria,p__proteobacteria,c__gammaproteobacteria,o__chromatiales,f__ectothiorhodospiraceae,g__thioalkalivibrio,s__thioalkalivibrio spp.,superkingdom__bacteria,,,,
OTU_210,gq008505.1 topographical and temporal human skin microbiome skin volar forearm clone nbw118a10c1  ,k__bacteria,p__bacteroidetes,c__flavobacteriia,o__flavobacteriales,f__flavobacteriaceae,g__elizabethkingia,s__elizabethkingia meningoseptica,superkingdom__bacteria,superphylum__bacteroidetes/chlorobi group,,,
OTU_211,pontibacter sp. swu8 ,k__bacteria,p__bacteroidetes,c__cytophagia,o__cytophagales,f__cytophagaceae,g__pontibacter,s__pontibacter sp.,superkingdom__bacteria,superphylum__bacteroidetes/chlorobi group,,,
OTU_212,eu528231.1 seasonal dynamics mudflat mouth major kentucky lake reservoir tributary sediment clone 3.5.6  ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhodospirillales,f__rhodospirillaceae,g__magnetospirillum,s__magnetospirillum sp.,superkingdom__bacteria,,,,
OTU_213,rhodoblastus acidophilus ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__bradyrhizobiaceae,g__rhodoblastus,s__rhodoblastus acidophilus,superkingdom__bacteria,,,,
OTU_214,dq837620.1 structures honeybee intestines and their response insecticidal proteins gut clone hbg_d2v2_3  ,k__bacteria,p__proteobacteria,c__betaproteobacteria,o__neisseriales,f__neisseriaceae,g__stenoxybacter,s__stenoxybacter spp.,superkingdom__bacteria,,,,
OTU_215,eubacterium sp. oral clone ji012 ,k__bacteria,p__firmicutes,c__clostridia,o__clostridiales,f__eubacteriaceae,g__eubacterium,s__eubacterium sp.,superkingdom__bacteria,,,,
OTU_216,uncultured pontibacter sp. ,k__bacteria,p__bacteroidetes,c__cytophagia,o__cytophagales,f__cytophagaceae,g__pontibacter,s__pontibacter spp.,superkingdom__bacteria,superphylum__bacteroidetes/chlorobi group,,,
OTU_217,phaeospirillum sp. ja559 ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhodospirillales,f__rhodospirillaceae,g__phaeospirillum,s__phaeospirillum sp.,superkingdom__bacteria,,,,
OTU_218,eu528231.1 seasonal dynamics mudflat mouth major kentucky lake reservoir tributary sediment clone 3.5.6  ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhodospirillales,f__rhodospirillaceae,g__magnetospirillum,s__magnetospirillum sp.,superkingdom__bacteria,,,,
OTU_219,uncultured bacteroides sp. ,k__bacteria,p__bacteroidetes,c__bacteroidia,o__bacteroidales,f__bacteroidaceae,g__bacteroides,s__bacteroides spp.,superkingdom__bacteria,superphylum__bacteroidetes/chlorobi group,,,
OTU_220,af025373.1 citrobacter werkmanii str. cdc 0876_58  ,k__bacteria,p__proteobacteria,c__gammaproteobacteria,o__enterobacteriales,f__enterobacteriaceae,g__citrobacter,s__citrobacter werkmanii,superkingdom__bacteria,,,,
OTU_221,vitis vinifera ,k__viridiplantae,p__streptophyta,c__streptophyta,o__vitales,f__vitaceae,g__vitis,s__vitis vinifera,superkingdom__eukaryota,,subclass  rosids,,
OTU_222,eu528231.1 seasonal dynamics mudflat mouth major kentucky lake reservoir tributary sediment clone 3.5.6  ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhodospirillales,f__rhodospirillaceae,g__magnetospirillum,s__magnetospirillum sp.,superkingdom__bacteria,,,,
OTU_223,uncultured opitutus sp. ,k__bacteria,p__verrucomicrobia,c__opitutae,o__opitutales,f__opitutaceae,g__opitutus,s__opitutus spp.,superkingdom__bacteria,superphylum__chlamydiae/verrucomicrobia group,,,
OTU_224,uncultured pontibacter sp. ,k__bacteria,p__bacteroidetes,c__cytophagia,o__cytophagales,f__cytophagaceae,g__pontibacter,s__pontibacter spp.,superkingdom__bacteria,superphylum__bacteroidetes/chlorobi group,,,
OTU_225,uncultured opitutus sp. ,k__bacteria,p__verrucomicrobia,c__opitutae,o__opitutales,f__opitutaceae,g__opitutus,s__opitutus spp.,superkingdom__bacteria,superphylum__chlamydiae/verrucomicrobia group,,,
OTU_226,gq073996.1 topographical and temporal human skin microbiome skin retroauricular crease clone nbw160d01c1  ,k__bacteria,p__firmicutes,c__bacilli,o__lactobacillales,f__lactobacillaceae,g__lactobacillus,s__lactobacillus iners,superkingdom__bacteria,,,,
OTU_227,af025373.1 citrobacter werkmanii str. cdc 0876_58  ,k__bacteria,p__proteobacteria,c__gammaproteobacteria,o__enterobacteriales,f__enterobacteriaceae,g__citrobacter,s__citrobacter werkmanii,superkingdom__bacteria,,,,
OTU_228,eu528231.1 seasonal dynamics mudflat mouth major kentucky lake reservoir tributary sediment clone 3.5.6  ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhodospirillales,f__rhodospirillaceae,g__magnetospirillum,s__magnetospirillum sp.,superkingdom__bacteria,,,,
OTU_229,uncultured acetobacter sp. ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhodospirillales,f__acetobacteraceae,g__acetobacter,s__acetobacter spp.,superkingdom__bacteria,,,,
OTU_230,uncultured opitutus sp. ,k__bacteria,p__verrucomicrobia,c__opitutae,o__opitutales,f__opitutaceae,g__opitutus,s__opitutus spp.,superkingdom__bacteria,superphylum__chlamydiae/verrucomicrobia group,,,
OTU_231,gq032279.1 topographical and temporal human skin microbiome skin volar forearm clone nbw904f03c1  ,k__bacteria,p__proteobacteria,c__gammaproteobacteria,o__pseudomonadales,f__moraxellaceae,g__acinetobacter,s__acinetobacter lwoffii,superkingdom__bacteria,,,,
OTU_232,uncultured rhodovibrio sp. ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhodospirillales,f__rhodospirillaceae,g__rhodovibrio,s__rhodovibrio spp.,superkingdom__bacteria,,,,
OTU_233,uncultured gemmatimonas sp. ,k__bacteria,p__gemmatimonadetes,c__gemmatimonadetes,o__gemmatimonadales,f__gemmatimonadaceae,g__gemmatimonas,s__gemmatimonas spp.,superkingdom__bacteria,,,,
OTU_234,uncultured bacteroides sp. ,k__bacteria,p__bacteroidetes,c__bacteroidia,o__bacteroidales,f__bacteroidaceae,g__bacteroides,s__bacteroides spp.,superkingdom__bacteria,superphylum__bacteroidetes/chlorobi group,,,
OTU_235,flavobacterium sp. r_38296 ,k__bacteria,p__bacteroidetes,c__flavobacteriia,o__flavobacteriales,f__flavobacteriaceae,g__flavobacterium,s__flavobacterium sp.,superkingdom__bacteria,superphylum__bacteroidetes/chlorobi group,,,
OTU_236,uncultured bacteroides sp. ,k__bacteria,p__bacteroidetes,c__bacteroidia,o__bacteroidales,f__bacteroidaceae,g__bacteroides,s__bacteroides spp.,superkingdom__bacteria,superphylum__bacteroidetes/chlorobi group,,,
OTU_237,ay297803.1 waterlogged archaeological wood clone pach83  ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__methylocystaceae,g__pleomorphomonas,s__pleomorphomonas oryzae,superkingdom__bacteria,,,,
OTU_238,uncultured opitutus sp. ,k__bacteria,p__verrucomicrobia,c__opitutae,o__opitutales,f__opitutaceae,g__opitutus,s__opitutus spp.,superkingdom__bacteria,superphylum__chlamydiae/verrucomicrobia group,,,
OTU_239,cu924338.1 towards definition core microorganisms involved digestion mesophilic anaerobic digester which treats municipal wastewater sludge clone  ,k__bacteria,p__proteobacteria,c__alphaproteobacteria,o__rhizobiales,f__methylocystaceae,g__pleomorphomonas,s__pleomorphomonas spp.,superkingdom__bacteria,,,,
